DEF,Lewis,Newcastle,44,4.50
DEF,Sánchez,Spurs,43,4.50
DEF,Masuaku,West Ham,42,4.50
DEF,Diop,West Ham,42,4.50
DEF,Matip,Liverpool,42,5.00
DEF,Stephens,Southampton,41,4.50
DEF,Dummett,Newcastle,40,4.50
DEF,Koch,Leeds,38,4.50
DEF,Chambers,Arsenal,36,4.50
DEF,Lamptey,Brighton,35,4.50
DEF,Marí,Arsenal,34,4.50
DEF,Hause,Aston Villa,32,4.50
DEF,Bailly,Man Utd,31,5.00
DEF,Schär,Newcastle,30,4.50
DEF,Aké,Man City,29,5.00
DEF,Manquillo,Newcastle,28,4.00
DEF,Cédric,Arsenal,28,4.50
DEF,R.Williams,Liverpool,28,4.50
DEF,Fredericks,West Ham,28,4.50
DEF,Clyne,Crystal Palace,28,4.50
DEF,Rodon,Spurs,27,4.50
DEF,Pereira,Leicester,27,5.50
DEF,Thomas,Leicester,26,4.50
DEF,Johnson,West Ham,25,4.00
DEF,Telles,Man Utd,25,5.00
DEF,Amartey,Leicester,19,4.00
DEF,Marçal,Wolves,19,4.50
DEF,Tomkins,Crystal Palace,18,4.50
DEF,Jonny,Wolves,16,4.50
DEF,van Dijk,Liverpool,15,6.50
DEF,Long,Burnley,14,4.00
DEF,Salisu,Southampton,14,4.50
DEF,Tanganga,Spurs,14,4.50
DEF,Hoever,Wolves,13,4.00
DEF,N.Williams,Liverpool,11,4.00
DEF,Gomez,Liverpool,10,5.00
DEF,Tuanzebe,Aston Villa,7,4.50
DEF,Williams,Man Utd,5,4.00
DEF,Bardsley,Burnley,2,4.00
DEF,Tsimikas,Liverpool,2,4.00
DEF,Kelly,Crystal Palace,1,4.00
DEF,Konaté,Liverpool,0,5.50
DEF,Young,Aston Villa,0,5.00
DEF,Perraud,Southampton,0,5.00
DEF,Firpo,Leeds,0,5.00
DEF,Romero,Spurs,0,5.00
DEF,Kolasinac,Arsenal,0,4.50
DEF,Mavropanos,Arsenal,0,4.50
DEF,Saliba,Arsenal,0,4.50
DEF,Engels,Aston Villa,0,4.50
DEF,Guilbert,Aston Villa,0,4.50
DEF,Jansson,Brentford,0,4.50
DEF,Henry,Brentford,0,4.50
DEF,Roerslev,Brentford,0,4.50
DEF,Sørensen,Brentford,0,4.50
DEF,Pinnock,Brentford,0,4.50
DEF,Jach,Crystal Palace,0,4.50
DEF,Ferguson,Crystal Palace,0,4.50
DEF,Hanley,Norwich,0,4.50
DEF,Byram,Norwich,0,4.50
DEF,Zimmermann,Norwich,0,4.50
DEF,Aarons,Norwich,0,4.50
DEF,Sørensen,Norwich,0,4.50
DEF,Sessegnon,Spurs,0,4.50
DEF,Rose,Watford,0,4.50
DEF,Cathcart,Watford,0,4.50
DEF,Femenía,Watford,0,4.50
DEF,Kabasele,Watford,0,4.50
DEF,Troost-Ekong,Watford,0,4.50
DEF,Masina,Watford,0,4.50
DEF,Sierralta,Watford,0,4.50
DEF,Ngakia,Watford,0,4.50
DEF,Wilmot,Watford,0,4.50
DEF,Mosquera,Wolves,0,4.50
DEF,Collins,Burnley,0,4.50
DEF,Gibson,Norwich,0,4.50
DEF,Giannoulis,Norwich,0,4.50
DEF,Tavares,Arsenal,0,4.50
DEF,Guéhi,Crystal Palace,0,4.50
DEF,Ajer,Brentford,0,4.50
DEF,Duffy,Brighton,0,4.00
DEF,Bernardo,Brighton,0,4.00
DEF,Goode,Brentford,0,4.00
DEF,Davies,Liverpool,0,4.00
DEF,Omobamidele,Norwich,0,4.00
