FWD,Maupay,Brighton,105,6.50,16
MID,Mahrez,Man City,145,9.00,16
DEF,Aurier,Spurs,80,5.00,16
MID,Douglas Luiz,Aston Villa,72,4.50,16
DEF,Mina,Everton,79,5.00,16
MID,Ndidi,Leicester,79,5.00,16
DEF,Struijk,Leeds,71,4.50,16
DEF,Fofana,Leicester,71,4.50,16
FWD,Antonio,West Ham,118,7.50,16
MID,Traoré,Wolves,94,6.00,16
FWD,Firmino,Liverpool,141,9.00,16
DEF,Gabriel,Arsenal,78,5.00,16
DEF,Bertrand,Leicester,78,5.00,16
MID,Dendoncker,Wolves,77,5.00,15
MID,Pépé,Arsenal,114,7.50,15
FWD,Lacazette,Arsenal,129,8.50,15
MID,Lingard,Man Utd,106,7.00,15
DEF,Phillips,Liverpool,68,4.50,15
DEF,Dawson,West Ham,75,5.00,15
FWD,Welbeck,Brighton,89,6.00,15
DEF,Ward,Crystal Palace,66,4.50,15
MID,Mané,Liverpool,176,12.00,15
FWD,Iheanacho,Leicester,110,7.50,15
MID,Moutinho,Wolves,73,5.00,15
MID,Doucouré,Everton,80,5.50,15
MID,James,Everton,101,7.00,14
DEF,Burn,Brighton,64,4.50,14
FWD,Werner,Chelsea,128,9.00,14
MID,Albrighton,Leicester,78,5.50,14
MID,Greenwood,Man Utd,106,7.50,14
MID,Sterling,Man City,154,11.00,14
MID,Xhaka,Arsenal,70,5.00,14
MID,Barkley,Chelsea,76,5.50,14
MID,Fred,Man Utd,69,5.00,14
MID,Murphy,Newcastle,69,5.00,14
FWD,Rodrigo,Leeds,89,6.50,14
MID,Podence,Wolves,75,5.50,14
DEF,Boly,Wolves,68,5.00,14
MID,Torres,Man City,95,7.00,14
FWD,Jesus,Man City,115,8.50,14
MID,Smith Rowe,Arsenal,74,5.50,13
MID,Shelvey,Newcastle,74,5.50,13
MID,Bernardo,Man City,94,7.00,13
MID,Phillips,Leeds,67,5.00,13
MID,Willock,Arsenal,79,6.00,13
DEF,Cooper,Leeds,59,4.50,13
FWD,Aubameyang,Arsenal,131,10.00,13
FWD,Saint-Maximin,Newcastle,85,6.50,13
MID,Fernandinho,Man City,65,5.00,13
MID,Gallagher,Crystal Palace,71,5.50,13
MID,Fabinho,Liverpool,71,5.50,13
DEF,Mitchell,Crystal Palace,58,4.50,13
DEF,Kilman,Wolves,58,4.50,13
MID,Riedewald,Crystal Palace,64,5.00,13
MID,Walcott,Southampton,76,6.00,13
DEF,Zinchenko,Man City,69,5.50,13
